Parasite.treatment,Compound.name,Concentration,Rep,Number,End_time,Dead
Parasite,Eugenol,Low,5,10,8,1
Parasite,Eugenol,Low,5,11,9,1
Parasite,Eugenol,Low,5,12,13,1
Parasite,Eugenol,Low,5,13,13,1
Parasite,Eugenol,Low,5,14,13,1
Parasite,Eugenol,Low,6,1,3,1
Parasite,Eugenol,Low,6,2,8,1
Parasite,Eugenol,Low,6,3,8,1
Parasite,Eugenol,Low,6,4,8,1
Parasite,Eugenol,Low,6,5,8,1
Parasite,Eugenol,Low,6,6,8,1
Parasite,Eugenol,Low,6,7,8,1
Parasite,Eugenol,Low,6,8,8,1
Parasite,Eugenol,Low,6,9,12,1
Parasite,Eugenol,Low,6,10,13,1
Parasite,Eugenol,Low,6,11,13,1
Parasite,Eugenol,Low,6,12,13,1
Parasite,Eugenol,Low,6,13,13,1
Parasite,Eugenol,Low,6,14,11,0
Parasite,Cinnamaldehyde,High,1,1,1,1
Parasite,Cinnamaldehyde,High,1,2,4,1
Parasite,Cinnamaldehyde,High,1,3,5,1
Parasite,Cinnamaldehyde,High,1,4,6,1
Parasite,Cinnamaldehyde,High,1,5,6,1
Parasite,Cinnamaldehyde,High,1,6,7,1
Parasite,Cinnamaldehyde,High,1,7,7,1
Parasite,Cinnamaldehyde,High,1,8,7,1
Parasite,Cinnamaldehyde,High,1,9,7,1
Parasite,Cinnamaldehyde,High,1,10,8,1
Parasite,Cinnamaldehyde,High,1,11,8,1
Parasite,Cinnamaldehyde,High,1,12,8,1
Parasite,Cinnamaldehyde,High,1,13,8,1
Parasite,Cinnamaldehyde,High,1,14,8,1
Parasite,Cinnamaldehyde,High,2,1,2,1
Parasite,Cinnamaldehyde,High,2,2,7,1
Parasite,Cinnamaldehyde,High,2,3,8,1
Parasite,Cinnamaldehyde,High,2,4,8,1
Parasite,Cinnamaldehyde,High,2,5,8,1
Parasite,Cinnamaldehyde,High,2,6,8,1
Parasite,Cinnamaldehyde,High,2,7,8,1
