Parasite.treatment,Compound.name,Concentration,Rep,Day,M0,Mf,N.mean,Dm.norm
Parasite,Thymol,Low,4,6,6.01,5.8,6.5,0.025769230769230732
Parasite,Thymol,High,5,1,6.95,6.55,12,0.028541666666666687
Parasite,Thymol,High,5,2,6.55,6.24,11.5,0.023043478260869558
Parasite,Thymol,High,5,3,6.24,5.87,11,0.030909090909090896
Parasite,Thymol,High,5,4,5.87,5.63,11,0.019772727272727275
Parasite,Thymol,High,5,5,5.63,5.24,11,0.033636363636363624
Parasite,Thymol,High,5,6,5.24,4.96,11,0.021590909090909095
Parasite,Thymol,Low,5,1,6.87,6.57,11,0.02204545454545452
Parasite,Thymol,Low,5,2,6.57,6.31,11,0.019545454545454633
Parasite,Thymol,Low,5,3,6.31,6.01,11,0.024545454545454506
Parasite,Thymol,Low,5,4,6.01,5.73,11,0.023409090909090834
Parasite,Thymol,Low,5,5,5.73,5.53,11,0.0163636363636364
Parasite,Thymol,Low,5,6,5.53,5.22,10.5,0.025476190476190503
Parasite,Thymol,High,6,1,6.83,6.64,10,0.013250000000000029
Parasite,Thymol,High,6,2,6.64,6.47,9.5,0.013157894736842129
Parasite,Thymol,High,6,3,6.47,6.15,9,0.032222222222222124
Parasite,Thymol,High,6,4,6.15,5.92,9,0.023055555555555583
Parasite,Thymol,High,6,5,5.92,5.71,8.5,0.022352941176470607
Parasite,Thymol,High,6,6,5.71,5.35,8,0.039687500000000014
Parasite,Thymol,Low,6,1,6.76,6.51,11,0.01749999999999999
Parasite,Thymol,Low,6,2,6.51,6.43,11,0.003181818181818215
Parasite,Thymol,Low,6,3,6.43,6.18,11,0.019999999999999976
Parasite,Thymol,Low,6,4,6.18,6.02,11,0.012499999999999995
Parasite,Thymol,Low,6,5,6.02,5.74,11,0.023636363636363598
